gene,window,n_snps,PP.H0.abf,PP.H1.abf,PP.H2.abf,PP.H3.abf,PP.H4.abf,lead_snp,lead_snp_pp_h4,lead_z_eQTL,lead_z_GWAS,region_chr,region_start,region_end
LIPA,full_4Mb,6629,0.0,0.9653296086753196,0.0,4.490541450351207e-05,0.034625485910422985,rs1412444,0.9999997752365997,136.72344151454706,2.76122320989093,10,90073986,92073153
LIPA,pm1000kb,3399,0.0,0.9653176358574937,0.0,5.730768588892028e-05,0.034625056456450774,rs1412444,0.9999997752365997,136.72344151454706,2.76122320989093,10,90573587,91572969
LIPA,pm500kb,1625,0.0,0.9653650232457727,0.0,8.22055608040689e-06,0.0346267561985186,rs1412444,0.9999997752365997,136.72344151454706,2.76122320989093,10,90823139,91322247
LIPA,pm250kb,750,0.0,0.9653639457093407,0.0,9.336742420716675e-06,0.03462671754827706,rs1412444,0.9999997752365997,136.72344151454706,2.76122320989093,10,90948110,91197183
FAXDC2,full_4Mb,6111,0.0,0.9567804328273088,0.0,1.0064244366319067e-05,0.04320950292824858,rs3867430,0.9977372562760299,-58.20234185174784,-2.9407178370725546,5,153219034,155216192
FAXDC2,pm1000kb,2834,0.0,0.956776209411638,0.0,1.4478395326923968e-05,0.04320931219306469,rs3867430,0.9977372562760299,-58.20234185174784,-2.9407178370725546,5,153718007,154717522
FAXDC2,pm500kb,1378,0.0,0.9567695035786449,0.0,2.14870727598721e-05,0.04320900934854529,rs3867430,0.9977372562760299,-58.20234185174784,-2.9407178370725546,5,153968022,154467728
FAXDC2,pm250kb,512,0.0,0.9567733211834721,0.0,1.7497059817518728e-05,0.043209181756760695,rs3867430,0.9977372562760299,-58.20234185174784,-2.9407178370725546,5,154093691,154342573
SREBF1,full_4Mb,4522,2.7963976e-316,0.828744362874678,2.5365e-320,7.512427875445021e-05,0.17118051284659916,rs9891957,0.4115357721316629,-43.27927909669214,3.511935572023341,17,16727905,18726473
SREBF1,pm1000kb,2267,1.4018296e-316,0.8286972999048571,2.233e-320,0.0001319082960223717,0.1711707917991074,rs9891957,0.4115357721316629,-43.27927909669214,3.511935572023341,17,17227464,18226702
SREBF1,pm500kb,941,5.818118e-317,0.8286003879638774,1.749e-320,0.00024883779185744785,0.1711507742442364,rs9891957,0.4115357721316629,-43.27927909669214,3.511935572023341,17,17477384,17976354
SREBF1,pm250kb,397,2.5514133e-317,0.8283884048215208,1.4096e-320,0.0004571939544817242,0.17115440122404083,rs9891957,0.4277556666518101,-43.27927909669214,3.511935572023341,17,17602977,17851377
